ΔT,D,Compound,Method,Source,SourceFigure
26.18470000000002,13.4013,Polyethylene,DTA,Jiang et al. (2003),Figure 1
24.312000000000012,11.0495,Polyethylene,DTA,Jiang et al. (2003),Figure 1
21.788599999999974,11.4293,Polyethylene,DTA,Jiang et al. (2003),Figure 1
22.975099999999998,12.3049,Polyethylene,DTA,Jiang et al. (2003),Figure 1
21.989199999999983,15.2546,Polyethylene,DTA,Jiang et al. (2003),Figure 1
18.777300000000025,13.885,Polyethylene,DTA,Jiang et al. (2003),Figure 1
18.955399999999997,15.0327,Polyethylene,DTA,Jiang et al. (2003),Figure 1
15.589200000000005,15.3569,Polyethylene,DTA,Jiang et al. (2003),Figure 1
20.836799999999982,18.4228,Polyethylene,DTA,Jiang et al. (2003),Figure 1
20.326900000000023,17.8758,Polyethylene,DTA,Jiang et al. (2003),Figure 1
20.794899999999984,13.45,Polyethylene,DTA,Jiang et al. (2003),Figure 1
21.0043,18.3136,Polyethylene,DTA,Jiang et al. (2003),Figure 1
20.494399999999985,17.7667,Polyethylene,DTA,Jiang et al. (2003),Figure 1
19.0,20.3333,Polyethylene,DTA,Jiang et al. (2003),Figure 1
18.672300000000007,21.4259,Polyethylene,DTA,Jiang et al. (2003),Figure 1
13.77679999999998,20.1637,Polyethylene,DTA,Jiang et al. (2003),Figure 1
11.428200000000004,21.3087,Polyethylene,DTA,Jiang et al. (2003),Figure 1
10.76679999999999,22.7833,Polyethylene,DTA,Jiang et al. (2003),Figure 1
10.286800000000028,25.7883,Polyethylene,DTA,Jiang et al. (2003),Figure 1
17.014499999999998,24.5935,Polyethylene,DTA,Jiang et al. (2003),Figure 1
14.999199999999973,25.3016,Polyethylene,DTA,Jiang et al. (2003),Figure 1
17.544699999999978,27.5449,Polyethylene,DTA,Jiang et al. (2003),Figure 1
9.63470000000001,28.3559,Polyethylene,DTA,Jiang et al. (2003),Figure 1
11.319999999999993,28.467,Polyethylene,DTA,Jiang et al. (2003),Figure 1
9.152300000000025,31.0876,Polyethylene,DTA,Jiang et al. (2003),Figure 1
